date,sku_name,category,quantity,final_price,is_promo,weekday
2023-05-04,Cerveja Pack 6,Bebidas,47,6.88,0,3
2023-01-11,Arroz Agulha,Mercearia,49,0.94,1,2
2023-02-16,Arroz Agulha,Mercearia,51,0.95,1,3
2023-05-09,Manteiga,Lacticínios,54,2.13,1,1
2023-03-09,Azeite Virgem,Mercearia,48,8.43,0,3
2023-07-05,Leite Meio Gordo,Lacticínios,43,0.92,0,2
2023-03-15,Bolachas Maria,Mercearia,32,1.49,0,2
2023-12-10,Cerveja Pack 6,Bebidas,48,6.56,0,6
2023-12-24,Azeite Virgem,Mercearia,53,7.72,0,6
2023-02-28,Cerveja Pack 6,Bebidas,56,5.88,0,1
2023-05-07,Manteiga,Lacticínios,45,2.44,0,6
2023-09-30,Manteiga,Lacticínios,63,2.27,0,5
2023-04-29,Azeite Virgem,Mercearia,72,7.68,0,5
2023-08-13,Leite Meio Gordo,Lacticínios,48,1.2,0,6
2023-08-08,Arroz Agulha,Mercearia,53,0.98,1,1
2023-09-24,Detergente Roupa,Limpeza,67,14.95,0,6
2023-03-28,Detergente Roupa,Limpeza,17,19.74,0,1
2023-04-17,Bolachas Maria,Mercearia,39,1.27,0,0
2023-07-19,Arroz Agulha,Mercearia,44,1.17,0,2
2023-07-20,Leite Meio Gordo,Lacticínios,47,0.83,0,3
2023-12-11,Arroz Agulha,Mercearia,48,1.22,0,0
2023-09-13,Café Grão,Mercearia,68,8.59,1,2
2023-03-06,Azeite Virgem,Mercearia,48,5.94,1,0
2023-06-15,Detergente Roupa,Limpeza,37,15.92,0,3
2023-06-23,Manteiga,Lacticínios,52,2.5,0,4
2023-01-13,Detergente Roupa,Limpeza,74,12.87,1,4
2023-09-07,Leite Meio Gordo,Lacticínios,47,0.77,1,3
2023-09-03,Bolachas Maria,Mercearia,86,0.61,1,6
2023-08-25,Leite Meio Gordo,Lacticínios,49,1.06,0,4
2023-08-06,Bolachas Maria,Mercearia,85,1.04,1,6
2023-10-31,Detergente Roupa,Limpeza,35,15.98,0,1
2023-11-20,Cerveja Pack 6,Bebidas,36,7.41,0,0
2023-04-01,Azeite Virgem,Mercearia,59,9.76,0,5
2023-05-10,Leite Meio Gordo,Lacticínios,48,0.96,0,2
2023-06-26,Cerveja Pack 6,Bebidas,41,6.53,0,0
2023-01-06,Azeite Virgem,Mercearia,44,7.8,0,4
2023-05-22,Cerveja Pack 6,Bebidas,61,5.79,0,0
2023-10-28,Café Grão,Mercearia,52,12.03,0,5
2023-07-02,Café Grão,Mercearia,56,12.17,0,6
2023-11-02,Azeite Virgem,Mercearia,62,7.12,1,3
2023-02-26,Manteiga,Lacticínios,54,2.46,0,6
2023-02-25,Café Grão,Mercearia,50,13.39,0,5
2023-12-10,Cerveja Pack 6,Bebidas,101,4.87,1,6
2023-08-11,Detergente Roupa,Limpeza,88,10.63,1,4
2023-11-12,Bolachas Maria,Mercearia,71,1.07,1,6
2023-10-20,Leite Meio Gordo,Lacticínios,59,0.84,0,4
2023-05-29,Azeite Virgem,Mercearia,65,7.2,0,0
2023-12-15,Bolachas Maria,Mercearia,46,1.21,0,4
2023-03-30,Bolachas Maria,Mercearia,69,0.97,1,3
2023-02-17,Manteiga,Lacticínios,43,2.13,1,4
2023-11-07,Manteiga,Lacticínios,37,2.99,0,1
2023-02-11,Manteiga,Lacticínios,54,2.77,0,5
2023-07-18,Manteiga,Lacticínios,39,3.0,0,1
2023-10-02,Azeite Virgem,Mercearia,41,9.19,0,0
2023-05-22,Manteiga,Lacticínios,54,2.26,0,0
2023-08-13,Arroz Agulha,Mercearia,86,0.92,1,6
2023-07-22,Manteiga,Lacticínios,57,2.63,0,5
2023-11-10,Manteiga,Lacticínios,44,2.87,0,4
2023-02-10,Leite Meio Gordo,Lacticínios,52,0.83,0,4
2023-03-21,Cerveja Pack 6,Bebidas,39,6.85,0,1
2023-01-13,Manteiga,Lacticínios,52,2.74,0,4
2023-03-18,Leite Meio Gordo,Lacticínios,66,0.71,1,5
